5.620,623,
6.654,28,
7.688,95,
8.722,194,
9.756,55,
10.790,66,
11.824,1515,
12.858,3291,
13.892,138,
14.926,24,
15.960,15,
16.994,7,
18.028,58,
19.062,10,
20.096,1,
21.130,1,
22.164,3,
23.198,0,
24.232,1,
25.266,1,
4.660,182,
10.572,298,
16.484,37,
22.396,72,
28.308,108,
34.220,48,
40.132,1,
46.044,5,
51.956,0,
57.868,0,
63.780,2,
69.692,1,
75.604,1,
81.516,10,
87.428,23,
93.340,20,
99.252,15,
105.164,0,
111.076,0,
116.988,5,
4.120,6,
4.238,10,
4.356,2,
4.474,2,
4.592,0,
4.710,0,
4.828,0,
4.946,1,
5.064,2,
5.182,8,
5.300,6,
5.418,11,
5.536,10,
5.654,3,
5.772,4,
5.890,4,
6.008,3,
6.126,5,
6.244,3,
6.362,4,
3.220,2,
3.464,0,
3.708,0,
3.952,0,
4.196,1,
4.440,1,
4.684,0,
4.928,0,
5.172,0,
5.416,0,
5.660,0,
5.904,0,
6.148,0,
6.392,0,
6.636,0,
6.880,1,
7.124,0,
7.368,1,
7.612,0,
7.856,2,
2.900,30,
4.433,11,
5.966,0,
7.499,57,
9.032,620,
10.565,42,
12.098,6,
13.631,4,
15.164,1,
16.697,0,
18.230,1,
19.763,4,
21.296,4,
22.829,4,
24.362,1,
25.895,3,
27.428,4,
28.961,3,
30.494,1,
32.027,1,
3.960,62012,
4.740,320,
5.520,31,
6.300,9,
7.080,3,
7.860,5,
8.640,5,
9.420,5,
10.200,2,
10.980,3,
11.760,5,
12.540,5,
13.320,16,
14.100,8,
14.880,4,
15.660,9,
16.440,5,
17.220,1,
18.000,1,
18.780,3,
