3.180,476,
6.771,367,
10.362,8479,
13.953,2017,
17.544,82,
21.135,5,
24.726,0,
28.317,1,
31.908,0,
35.499,0,
39.090,0,
42.681,0,
46.272,1,
49.863,2,
53.454,0,
57.045,2,
60.636,2,
64.227,2,
67.818,0,
71.409,1,
3.200,339,
9.354,311,
15.508,371,
21.662,43,
27.816,9,
33.970,0,
40.124,0,
46.278,0,
52.432,0,
58.586,0,
64.740,0,
70.894,0,
77.048,0,
83.202,2,
89.356,6,
95.510,6,
101.664,10,
107.818,2,
113.972,3,
120.126,3,
3.280,1,
3.605,0,
3.930,0,
4.255,0,
4.580,0,
4.905,0,
5.230,3,
5.555,0,
5.880,0,
6.205,1,
6.530,1,
6.855,0,
7.180,0,
7.505,0,
7.830,0,
8.155,0,
8.480,0,
8.805,0,
9.130,1,
9.455,1,
2.540,10,
4.220,12,
5.900,27,
7.580,27,
9.260,51,
10.940,83,
12.620,30,
14.300,66,
15.980,134,
17.660,216,
19.340,81,
21.020,40,
22.700,7,
24.380,12,
26.060,2,
27.740,1,
29.420,2,
31.100,0,
32.780,0,
34.460,1,
4.500,59812,
8.764,80,
13.028,115,
17.292,54,
21.556,0,
25.820,0,
30.084,0,
34.348,0,
38.612,0,
42.876,0,
47.140,0,
51.404,1,
55.668,0,
59.932,0,
64.196,0,
68.460,0,
72.724,1,
76.988,0,
81.252,0,
85.516,1,
