6.8,82
7.933,68
9.066,68
10.199,126
11.332,29
12.465,51
13.598,82
14.731,2869
15.864,1498
16.997,94
18.13,359
19.263,148
20.396,23
21.529,66
22.662,17
23.795,6
24.928,3
26.061,0
27.194,0
28.327,1
6.04,146
13.324,351
20.608,238
27.892,233
35.176,0
42.46,0
49.744,1
57.028,0
64.312,1
71.596,0
78.88,1
86.164,10
93.448,6
100.732,8
108.016,6
115.3,2
122.584,2
129.868,0
137.152,2
144.436,1
4.78,83
10.943,0
17.106,0
23.269,0
29.432,0
35.595,0
41.758,0
47.921,0
54.084,0
60.247,0
66.41,0
72.573,0
78.736,0
84.899,0
91.062,0
97.225,0
103.388,0
109.551,0
115.714,0
121.877,1
3.6,2
3.87,0
4.14,0
4.41,0
4.68,2
4.95,0
5.22,0
5.49,0
5.76,0
6.03,0
6.3,0
6.57,0
6.84,0
7.11,0
7.38,0
7.65,0
7.92,0
8.19,1
8.46,1
8.73,2
3.2,39
4.975,18
6.75,0
8.525,25
10.3,560
12.075,88
13.85,10
15.625,3
17.4,1
19.175,1
20.95,0
22.725,0
24.5,0
26.275,0
28.05,1
29.825,1
31.6,1
33.375,0
35.15,8
36.925,14
4.52,58945
5.286,727
6.052,35
6.818,12
7.584,6
8.35,7
9.116,5
9.882,7
10.648,6
11.414,6
12.18,3
12.946,10
13.712,5
14.478,4
15.244,7
16.01,11
16.776,8
17.542,3
18.308,2
19.074,8
,59817
